,0,1,2,3,4
AAZ APP-EPAPER,4160299.0,218179.0,578.8,1129.11,21568.91
AAZ APP-LIVE,5804785.0,1753845.0,99.19,3580.81,11837.77
AAZ WEB,13534547.0,3521437.0,115.08,2320.66,8852.32
BAT APP-EPAPER,391611.0,17706.0,665.47,1113.96,24456.64
BAT APP-LIVE,148303.0,42688.0,104.09,3296.26,11399.72
BAT WEB,400387.0,104021.0,113.78,2201.64,8087.58
BLZ APP-EPAPER,1560145.0,91335.0,527.33,1105.41,19070.8
BLZ APP-LIVE,1824507.0,598644.0,91.41,3864.15,11765.24
BLZ WEB,52.0,18.0,47.0,798.08,5974.5
BZB APP-EPAPER,6329.0,1237.0,186.13,1678.59,6765.69
BZB APP-LIVE,398373.0,134926.0,88.52,3874.58,11421.93
BZB WEB,4263084.0,1221368.0,104.79,2681.39,9277.5
GTB APP-EPAPER,252428.0,11629.0,657.02,1057.78,22815.71
GTB APP-LIVE,137243.0,42013.0,97.77,3349.65,10858.09
GTB WEB,385242.0,91110.0,124.97,1895.86,7536.55
LIZ APP-EPAPER,268502.0,16506.0,515.03,1046.31,17383.91
LIZ APP-LIVE,200788.0,72912.0,82.58,3505.9,9646.38
LIZ WEB,452137.0,151379.0,89.98,2128.87,6358.26
OT APP-EPAPER,1027910.0,52164.0,593.22,1022.89,19952.19
OT APP-LIVE,483088.0,157310.0,92.0,3234.79,9908.94
OT WEB,768822.0,202795.0,113.55,2633.68,9807.21
SAW ALL,7809.0,329.0,471.95,1265.0,11540.45
SAW LIVE,46104.0,32860.0,39.02,6048.45,7724.46
SOZ APP-EPAPER,1709526.0,85967.0,599.7,1037.79,20502.07
SOZ APP-LIVE,1239030.0,392845.0,94.52,3475.72,10936.49
SOZ WEB,2316597.0,566496.0,121.72,2196.62,8748.98
