Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/blz/android/p...lz/live, /nwn/apps/live/blz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:44:08 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,63.828,20.678," 3,09","   127,82","   394,55"
02.05,58.422,19.040," 3,07","   131,04","   402,07"
03.05,51.262,17.766," 2,89","   135,18","   390,06"
04.05,57.704,19.125," 3,02","   123,62","   373,00"
05.05,56.741,18.332," 3,10","   119,74","   370,62"
06.05,56.608,17.982," 3,15","   121,40","   382,18"
07.05,51.531,17.124," 3,01","   123,83","   372,63"
08.05,54.300,17.867," 3,04","   125,69","   381,99"
09.05,52.978,17.530," 3,02","   129,10","   390,17"
10.05,51.868,17.617," 2,94","   124,65","   367,00"
11.05,56.996,18.650," 3,06","   127,63","   390,04"
12.05,52.760,17.773," 2,97","   128,02","   380,05"
13.05,51.913,17.814," 2,91","   130,41","   380,05"
14.05,51.516,16.945," 3,04","   122,70","   373,03"
15.05,51.115,17.585," 2,91","   128,23","   372,73"
16.05,53.497,17.853," 3,00","   132,75","   397,78"
17.05,50.710,17.138," 2,96","   122,63","   362,86"
18.05,58.581,18.373," 3,19","   120,37","   383,78"
19.05,52.315,17.096," 3,06","   120,23","   367,93"
20.05,52.516,17.451," 3,01","   124,06","   373,34"
21.05,56.456,17.371," 3,25","   109,38","   355,50"
22.05,48.607,16.443," 2,96","   120,40","   355,93"
23.05,54.116,18.101," 2,99","   137,26","   410,36"
24.05,41.909,16.037," 2,61","   121,74","   318,13"
25.05,47.442,16.583," 2,86","   127,01","   363,36"
26.05,48.287,16.129," 2,99","   124,75","   373,48"
27.05,50.224,16.916," 2,97","   130,50","   387,47"
28.05,48.919,16.255," 3,01","   121,43","   365,44"
29.05,54.803,17.420," 3,15","   118,96","   374,26"
30.05,47.751,15.573," 3,07","   116,87","   358,35"
31.05,43.835,15.504," 2,83","   131,96","   373,10"
?,1.629.510,542.071," 93,10","   3879,39","   11641,22"
?,52.565,17.486," 3,00","   125,14","   375,52"
